Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Youcef Belaïli,AC Ajaccio,AM(L),14,1100,6,3,2,0,2.0,75.3,0.4,2,6.88
Fabiano Parisi,Empoli,D(L),24,2031,2,0,6,1,0.7,78.4,0.7,0,6.88
Rodrigo Becão,Udinese,D(C),21,1863,2,1,10,0,0.7,79.5,2.2,1,6.88
Sèrge Aurier,Nottingham Forest,"D(CLR),M(R)",16,1435,1,0,2,0,0.4,73.7,2.0,1,6.88
Dusan Vlahovic,Juventus,FW,17,1469,8,2,0,0,3.0,72.7,1.4,3,6.88
Maxence Caqueret,Lyon,DMC,23,1978,1,5,2,0,0.8,86.3,0.5,1,6.88
Ollie Watkins,Aston Villa,"AM(LR),FW",25,2149,9,5,1,0,2.2,70.6,1.8,1,6.88
Alexander Djiku,Strasbourg,"D(CR),DMC",25,2159,1,2,5,0,0.5,81.0,2.8,0,6.88
Thibaut Courtois,Real Madrid,GK,20,1800,0,0,0,0,0.0,82.4,0.3,1,6.88
Baptiste Santamaría,Rennes,DMC,14,1231,1,0,2,0,0.8,85.6,2.5,1,6.88
Guillermo Maripán,Monaco,D(C),18,1576,3,0,1,1,0.7,87.3,2.1,1,6.88
Guido Rodríguez,Real Betis,DMC,21,1798,0,0,6,0,0.5,87.9,1.3,1,6.88
Vanderson,Monaco,"D(R),M(R)",15,1435,0,3,1,1,0.9,81.3,0.8,1,6.88
Jonas Hector,FC Koln,"D(L),M(CL)",23,2016,0,1,2,0,0.8,77.8,1.5,0,6.88
Rasmus Nicolaisen,Toulouse,D(C),27,2367,0,2,4,1,0.3,83.7,3.1,1,6.88
Takefusa Kubo,Real Sociedad,"AM(CLR),FW",20,1681,5,3,2,0,2.1,76.3,0.5,3,6.87
Pascal Struijk,Leeds,"D(CL),DMC",20,1691,2,1,4,0,0.6,78.7,2.1,0,6.87
Marius Wolf,Borussia Dortmund,"D(R),M(CLR)",12,1142,1,1,1,0,1.1,78.8,0.3,3,6.87
Nico Williams,Athletic Bilbao,AM(LR),24,2006,4,4,1,0,1.9,78.7,0.4,3,6.87
Andrew Robertson,Liverpool,"D(L),M(L)",20,1776,0,6,2,0,0.5,83.6,0.6,0,6.87
Lucas Tousart,Hertha Berlin,DMC,24,2138,3,1,1,0,1.2,63.0,3.1,3,6.87
Neto Borges,Clermont Foot,"D(L),M(L)",25,2164,2,0,2,1,0.8,79.1,1.0,2,6.87
Cristiano Biraghi,Fiorentina,"D(L),M(L)",23,1985,1,2,0,0,0.7,77.1,0.6,1,6.87
Álvaro García,Rayo Vallecano,AM(L),23,2025,4,2,4,0,1.4,71.5,0.5,2,6.87
Stefan de Vrij,Inter,D(C),15,1311,1,0,2,0,0.6,88.6,3.2,0,6.87
Yeray Álvarez,Athletic Bilbao,D(C),21,1810,1,1,5,1,0.3,81.5,1.9,1,6.87
Rayan Cherki,Lyon,AM(CLR),12,1122,3,4,3,0,1.5,80.0,0.1,2,6.87
Exequiel Palacios,Leverkusen,M(C),14,1198,3,2,1,0,0.7,86.0,0.6,2,6.87
Hirving Lozano,Napoli,"AM(LR),FW",15,1285,3,3,3,0,1.4,80.7,0.2,1,6.87
Florian Tardieu,Troyes,M(C),11,1009,3,0,2,0,0.9,90.4,0.5,0,6.87
Álvaro Morata,Atletico,"AM(L),FW",16,1352,10,2,3,0,1.8,63.5,1.5,2,6.86
Stijn Spierings,Toulouse,M(C),28,2518,2,0,2,0,0.8,85.7,0.7,0,6.86
Lee Jae-Sung,Mainz,"AM(CLR),FW",19,1475,7,3,2,0,1.0,74.4,1.2,3,6.86
Ismaily,Lille,D(L),17,1452,2,1,0,0,0.7,80.5,1.6,0,6.86
Emmanuel Agbadou,Reims,"D(C),DMC",19,1706,0,2,3,2,0.8,85.6,1.8,1,6.86
Bryan Mbeumo,Brentford,"AM(LR),FW",27,2116,5,3,4,0,1.7,74.3,0.9,1,6.86
Gavi,Barcelona,AM(CL),20,1722,1,2,5,0,0.7,88.4,1.1,0,6.86
Daichi Kamada,Eintracht Frankfurt,"AM(CLR),FW",19,1655,7,4,2,0,1.2,83.4,0.6,2,6.86
Jordi Alba,Barcelona,"D(L),M(L)",10,1002,1,3,2,1,0.6,88.0,0.4,1,6.86
Willian,Fulham,AM(CLR),17,1471,3,2,2,0,1.3,81.9,0.4,1,6.86
Youri Tielemans,Leicester,M(C),19,1712,3,1,3,0,1.0,83.9,0.7,1,6.86
Jordan Lotomba,Nice,"D(LR),M(R)",21,1937,0,2,4,0,0.3,84.1,0.7,2,6.86
Nicolò Casale,Lazio,D(C),19,1677,1,1,5,0,0.4,92.1,1.9,0,6.85
Timo Werner,RBL,"AM(CLR),FW",15,1310,7,2,2,0,2.2,77.7,0.2,3,6.85
Alban Lafont,Nantes,GK,27,2430,0,0,0,1,0.0,64.4,0.3,4,6.85
Douglas Luiz,Aston Villa,M(C),22,1953,3,5,4,1,0.9,87.4,0.7,2,6.85
Dodi Lukébakio,Hertha Berlin,"AM(CLR),FW",19,1730,10,1,6,0,2.1,71.6,0.5,3,6.85
Alexander Sørloth,Real Sociedad,"AM(R),FW",20,1664,9,1,4,0,1.9,69.8,1.5,2,6.85
Salis Abdul Samed,Lens,DMC,26,2338,1,1,4,0,0.5,92.5,0.4,0,6.85
Dejan Kulusevski,Tottenham,"AM(CR),FW",16,1473,2,6,1,0,1.5,80.2,0.2,1,6.85
Samuel Chukwueze,Villarreal,AM(CR),16,1479,4,5,1,0,1.4,77.5,0.4,2,6.85
Guglielmo Vicario,Empoli,GK,24,2160,0,0,3,0,0.0,71.1,0.3,1,6.85
Matteo Pessina,Monza,AM(CR),24,2067,3,2,5,0,0.8,86.4,1.2,0,6.85
Federico Dimarco,Inter,"D(CL),M(L)",21,1695,3,2,0,0,1.4,80.1,0.2,0,6.85
Ben White,Arsenal,"D(CR),DMC",26,2168,1,3,4,0,0.3,85.9,0.9,0,6.85
Luigi Sepe,Salernitana,GK,17,1530,0,0,3,0,0.0,63.9,0.3,1,6.84
Vinicius Souza,Espanyol,DMC,24,2039,0,0,5,1,0.3,80.6,2.7,0,6.84
David Silva,Real Sociedad,"M(CLR),FW",17,1318,1,4,2,0,0.9,85.5,0.4,1,6.84
Pau Torres,Villarreal,D(C),23,2070,0,0,9,0,0.3,85.5,1.5,1,6.84
Kai Havertz,Chelsea,"M(CR),FW",23,1985,7,1,4,0,2.0,81.7,2.4,2,6.84
Mathias Jensen,Brentford,M(C),27,2085,5,4,3,0,0.6,74.8,0.3,3,6.84
Joachim Andersen,Crystal Palace,D(C),22,1928,1,0,6,0,0.7,80.2,2.5,0,6.84
Davide Frattesi,Sassuolo,DMC,26,2164,6,0,3,0,1.7,77.7,0.7,1,6.84
Fikayo Tomori,AC Milan,D(CR),23,2014,1,0,3,0,0.3,87.5,1.9,2,6.84
Joe Willock,Newcastle,M(C),22,1820,2,4,1,0,1.5,84.7,0.4,2,6.83
Álex Moreno,Real Betis,"D(L),M(L)",15,1350,0,3,1,0,0.9,77.4,0.6,0,6.83
Manu Koné,Borussia M.Gladbach,DMC,24,2109,1,1,9,0,0.9,86.9,0.6,0,6.83
Marc Oliver Kempf,Hertha Berlin,D(C),24,2097,0,0,4,0,0.5,77.8,4.1,0,6.83
Nicolas Höfler,Freiburg,"D(C),DMC",24,2106,0,1,8,0,0.7,83.4,1.8,1,6.83
Olivier Giroud,AC Milan,FW,19,1584,8,4,5,1,2.7,62.1,3.3,1,6.83
Bryan Cristante,Roma,"D(C),M(C)",26,2178,1,1,6,1,0.7,81.8,2.1,2,6.83
Philip Billing,Bournemouth,"M(C),FW",24,1968,6,1,5,0,1.0,78.6,1.4,2,6.83
Georginio Rutter,Hoffenheim,FW,11,1010,2,2,2,0,1.8,63.9,0.7,1,6.83
Ardian Ismajli,Empoli,D(C),18,1673,0,0,3,0,0.5,85.0,2.0,2,6.83
Morten Hjulmand,Lecce,DMC,25,2128,0,4,7,1,0.4,78.6,1.2,5,6.83
Gabriel Strefezza,Lecce,M(LR),22,1776,7,1,4,0,1.9,68.2,0.5,0,6.83
Adrien Truffert,Rennes,"D(L),M(L)",24,1962,0,6,2,0,0.4,80.8,1.2,1,6.83
Nicolò Rovella,Monza,DMC,12,1041,0,0,4,1,0.9,89.4,0.4,0,6.82
Aitor Fernández,Osasuna,GK,14,1260,0,0,1,0,0.0,58.9,0.1,1,6.82
Rodrigo Zalazar,Schalke,M(C),9,853,1,2,3,0,1.9,66.7,0.9,2,6.82
Junior Messias,AC Milan,"M(CR),FW",14,1113,4,2,2,0,1.3,77.3,1.2,1,6.82
Sheraldo Becker,Union Berlin,"AM(CLR),FW",24,1820,7,4,1,0,1.7,65.2,0.6,2,6.82
Donyell Malen,Borussia Dortmund,"AM(LR),FW",14,1074,2,2,0,0,1.8,79.8,0.3,0,6.82
Rolando Mandragora,Fiorentina,DMC,15,1354,2,3,6,0,1.5,84.3,1.5,1,6.82
Krépin Diatta,Monaco,"M(CLR),FW",18,1660,3,2,3,0,1.4,79.4,1.3,0,6.82
Pierre Lees-Melou,Brest,M(CLR),23,1963,4,1,7,1,1.2,84.4,0.5,0,6.82
Jordan Veretout,Marseille,M(C),21,1964,3,2,2,0,0.8,87.1,0.4,1,6.82
Désiré Doué,Rennes,AM(C),10,1005,3,1,4,0,1.0,82.2,0.5,1,6.82
Gédéon Kalulu,Lorient,D(R),22,1980,0,3,4,0,0.4,80.6,1.0,1,6.82
Eric García,Barcelona,D(C),11,911,1,0,3,0,0.3,92.0,1.2,0,6.82
Theo Hernández,AC Milan,"D(L),M(L)",23,2011,3,3,5,0,1.8,77.8,1.2,1,6.82
Kasper Schmeichel,Nice,GK,26,2340,0,0,0,0,0.0,74.3,0.1,2,6.82
Iza Carcelén,Cadiz,D(R),16,1420,0,1,2,3,0.3,80.3,0.7,0,6.82
Jesper Lindstrøm,Eintracht Frankfurt,"AM(CR),FW",20,1547,7,2,2,0,2.0,68.1,0.3,2,6.82
Mats Hummels,Borussia Dortmund,D(C),16,1358,0,0,4,0,0.5,87.6,2.3,0,6.81
Dayot Upamecano,Bayern,D(C),23,1980,0,1,4,1,0.3,90.4,1.7,0,6.81
Loïs Openda,Lens,FW,19,1696,14,2,1,0,2.4,70.3,0.3,4,6.81
David García,Osasuna,D(C),23,2032,2,0,7,1,0.5,81.0,2.6,0,6.81
Emiliano Martínez,Aston Villa,GK,25,2195,0,0,5,0,0.0,72.9,0.3,1,6.81
Alidu Seidu,Clermont Foot,D(CR),20,1755,0,0,6,0,0.3,87.3,0.7,0,6.81
Luis Alberto,Lazio,"AM(CL),FW",16,1473,5,3,2,0,1.2,87.5,0.2,1,6.81
Francesco Acerbi,Inter,D(C),17,1603,0,1,3,0,0.6,88.6,2.9,0,6.81
Yannick Gerhardt,Wolfsburg,"D(L),M(CL)",17,1416,6,3,2,0,1.1,75.2,0.9,2,6.81
Sead Kolasinac,Marseille,"D(CL),DMC,M(L)",17,1398,4,1,2,0,0.7,84.7,0.7,2,6.81
Tammy Abraham,Roma,FW,20,1756,6,3,1,0,1.8,69.8,2.1,1,6.81
Robin Knoche,Union Berlin,D(C),24,2160,2,1,4,0,0.4,80.9,1.8,1,6.81
Koen Casteels,Wolfsburg,GK,25,2250,0,0,0,0,0.0,74.5,0.1,2,6.81
Stefan Bell,Mainz,D(CR),17,1589,0,0,6,0,0.3,77.7,3.5,1,6.81
Ronald Araújo,Barcelona,D(CR),13,1123,0,1,5,1,0.7,88.5,1.9,0,6.81
Lars Stindl,Borussia M.Gladbach,"M(CLR),FW",15,1289,5,6,7,0,1.8,80.6,0.5,0,6.81
Rúben Dias,Man City,D(C),15,1369,0,0,2,0,0.5,92.4,1.8,0,6.81
Cengiz Ünder,Marseille,M(CLR),19,1666,2,4,3,0,1.7,76.6,0.4,2,6.81
Lucas Paquetá,West Ham,"M(CLR),FW",17,1329,2,2,4,0,2.1,80.9,1.2,1,6.8
Arkadiusz Milik,Juventus,"AM(C),FW",10,978,6,1,1,1,1.7,80.4,1.3,1,6.8
Samuel Gigot,Marseille,D(C),17,1399,2,2,2,2,0.5,87.3,1.8,2,6.8
Thibault De Smet,Reims,"D(L),M(L)",14,1248,0,1,2,0,0.0,78.5,1.6,0,6.8
Wilfried Zaha,Crystal Palace,"AM(LR),FW",23,2024,6,2,4,0,2.2,81.2,0.2,2,6.8
Dwight McNeil,Everton,AM(CLR),18,1602,3,2,5,0,1.0,77.8,0.2,3,6.79
Jean-Clair Todibo,Nice,D(C),26,2212,0,0,2,2,0.3,88.8,1.0,1,6.79
André Almeida,Valencia,M(C),18,1602,2,3,2,0,0.5,84.8,0.4,0,6.79
Nicolás Domínguez,Bologna,M(C),18,1590,1,2,7,0,1.1,81.3,1.0,1,6.79
Edin Dzeko,Inter,FW,17,1569,7,3,3,0,2.3,72.2,1.4,3,6.79
Marcos Llorente,Atletico,"D(R),M(CR),FW",18,1442,1,2,4,0,0.9,85.7,0.5,1,6.79
Florian Niederlechner,Augsburg,"AM(CR),FW",10,912,4,1,1,0,2.0,60.4,2.1,0,6.79
Pervis Estupiñán,Brighton,D(L),19,1583,0,3,3,0,0.5,83.2,1.2,1,6.79
Rominigue Kouamé,Troyes,DMC,23,1941,1,1,5,0,0.8,88.5,0.4,1,6.79
Vito Mannone,Lorient,GK,14,1337,0,0,1,0,0.0,71.1,0.1,1,6.79
Michael Olise,Crystal Palace,AM(CLR),21,1857,2,5,2,0,1.1,79.3,0.3,3,6.79
Eric Dier,Tottenham,"D(CR),DMC",25,2275,2,1,3,0,0.6,87.2,2.6,1,6.79
Rodrigo,Leeds,"M(CLR),FW",17,1355,11,1,3,0,2.7,71.4,1.0,1,6.79
Lisandro Martínez,Man Utd,"D(CL),DMC",21,1854,1,0,6,0,0.3,86.9,1.3,0,6.79
Germán Pezzella,Real Betis,D(C),20,1785,0,0,2,2,0.4,88.5,2.3,1,6.79
William Carvalho,Real Betis,DMC,20,1635,2,0,5,1,0.7,86.8,1.1,2,6.79
Neto,Bournemouth,GK,17,1486,0,0,4,0,0.0,53.9,0.2,2,6.79
Armel Bella-Kotchap,Southampton,D(C),19,1487,0,1,3,0,0.6,79.2,1.7,0,6.78
Rasmus Kristensen,Leeds,"D(R),M(R)",13,1210,1,1,4,0,0.5,66.3,1.3,0,6.78
Luka Modric,Real Madrid,M(C),16,1415,4,3,6,0,1.1,90.4,0.3,0,6.78
Emil Audero,Sampdoria,GK,25,2250,0,0,1,0,0.0,63.6,0.2,5,6.78
Boulaye Dia,Salernitana,"AM(R),FW",19,1772,10,4,3,0,1.4,76.8,0.5,2,6.78
Alfonso Pedraza,Villarreal,"D(L),M(L)",12,996,0,2,1,0,1.2,81.5,0.6,0,6.78
Jadon Sancho,Man Utd,AM(CLR),12,933,4,1,0,0,0.8,85.2,0.1,0,6.78
Hamari Traoré,Rennes,"D(R),M(R)",18,1661,1,2,4,0,0.9,87.5,1.1,0,6.78
Mohammed Salisu,Southampton,D(CL),21,1973,0,1,5,0,0.9,76.8,2.5,0,6.78
Jérémie Boga,Atalanta,"AM(CLR),FW",5,578,1,5,0,0,0.6,84.4,0.2,0,6.78
Robert Andrich,Leverkusen,M(C),22,1869,2,2,7,0,1.0,84.1,1.7,0,6.78
Laurent Abergel,Lorient,DMC,19,1559,0,1,3,0,0.4,87.9,0.2,0,6.78
Quentin Merlin,Nantes,"D(L),M(L)",15,1270,0,1,1,0,0.8,79.9,0.7,0,6.78
Sven Botman,Newcastle,D(C),23,2049,0,0,1,0,0.6,86.7,2.0,0,6.78
Philipp Lienhart,Freiburg,D(C),22,2011,1,0,3,0,0.5,85.4,2.1,1,6.78
Wojciech Szczesny,Juventus,GK,19,1663,0,0,0,0,0.0,72.3,0.4,0,6.77
Thomas Foket,Reims,"D(R),M(R)",13,1161,0,0,0,0,0.1,82.3,0.4,0,6.77
William Saliba,Arsenal,D(C),27,2416,2,1,4,0,0.2,91.0,2.0,1,6.77
Aaron Ramsey,Nice,M(CLR),14,1245,1,1,2,0,0.9,87.4,0.2,1,6.77
Steve Mandanda,Rennes,GK,26,2296,0,1,1,0,0.0,69.8,0.2,2,6.77
Dan Burn,Newcastle,"D(CL),M(L)",25,2214,0,0,5,0,0.5,78.3,2.4,1,6.77
Tomás Soucek,West Ham,DMC,22,2001,1,1,2,0,0.8,73.5,2.9,1,6.77
Brice Samba,Lens,GK,28,2520,0,0,1,0,0.0,75.4,0.3,1,6.77
Benjamin Henrichs,RBL,"D(LR),DMC,M(LR)",17,1613,2,1,7,0,0.9,76.2,0.7,0,6.77
David Soria,Getafe,GK,26,2340,0,0,1,0,0.0,51.9,0.1,4,6.77
Vicente Guaita,Crystal Palace,GK,26,2340,0,0,1,0,0.0,66.7,0.4,2,6.77
Jarrod Bowen,West Ham,"AM(CLR),FW",26,2333,4,2,2,0,2.2,73.5,0.8,3,6.77
Lukasz Skorupski,Bologna,GK,27,2430,0,0,3,0,0.0,73.4,0.2,0,6.77
Cristian Romero,Tottenham,D(C),18,1645,0,0,5,1,0.4,87.7,2.0,0,6.77
Gianluca Mancini,Roma,"D(C),DMC",26,2189,1,2,5,0,0.6,82.2,1.8,0,6.77
Mërgim Berisha,Augsburg,"AM(C),FW",18,1516,8,4,7,1,2.7,54.3,1.8,3,6.77
Eberechi Eze,Crystal Palace,AM(CLR),20,1744,4,3,2,0,1.5,81.9,0.4,1,6.76
Sandro Tonali,AC Milan,DMC,21,1934,2,4,7,0,1.0,78.1,0.4,2,6.76
Dani Vivian,Athletic Bilbao,D(C),17,1534,1,0,5,0,0.4,80.5,1.4,0,6.76
Danilo Pereira,PSG,"D(C),DMC",17,1544,2,0,2,0,0.6,93.8,1.2,0,6.76
Mory Diaw,Clermont Foot,GK,28,2520,0,0,0,0,0.0,66.0,0.2,3,6.76
Nordi Mukiele,PSG,"D(CR),M(R)",12,1133,0,3,0,0,0.6,88.4,1.1,1,6.76
Jack Harrison,Leeds,"AM(CLR),FW",23,1848,3,6,2,0,1.0,70.5,0.2,3,6.76
Pasquale Mazzocchi,Salernitana,"D(R),M(LR)",17,1430,2,2,2,0,0.7,79.5,0.4,1,6.76
Robin Le Normand,Real Sociedad,D(C),21,1895,0,0,4,0,0.3,89.5,3.0,0,6.76
Kevin Stöger,Bochum,M(CL),22,1945,2,1,1,0,1.5,74.4,0.4,1,6.76
Kiernan Dewsbury-Hall,Leicester,M(C),24,1964,2,2,2,0,0.9,78.1,0.6,1,6.76
Mama Baldé,Troyes,"D(R),M(CLR),FW",23,1957,10,3,3,2,2.4,68.8,1.3,3,6.76
Alessandro Bastoni,Inter,D(C),19,1632,0,2,2,0,0.6,85.2,1.6,0,6.76
Sergi Roberto,Barcelona,"D(R),M(CR)",10,946,4,1,3,0,0.8,92.2,0.2,0,6.76
Timothy Castagne,Leicester,"D(CLR),M(LR)",25,2267,1,2,2,0,0.5,81.2,1.4,0,6.76
Bradley Barcola,Lyon,AM(R),8,775,3,3,1,0,1.0,71.8,0.7,3,6.76
Yuri Berchiche,Athletic Bilbao,"D(L),M(L)",15,1328,1,1,5,1,1.2,83.3,1.7,1,6.76
Aarón Martín,Mainz,"D(L),M(L)",17,1492,3,3,1,0,0.7,82.9,0.1,1,6.76
Aitor Ruibal,Real Betis,"D(R),M(LR)",11,1081,0,0,3,0,0.6,79.7,0.5,2,6.76
John Stones,Man City,D(CR),14,1270,0,2,1,0,0.5,93.5,1.5,0,6.76
Emre Can,Borussia Dortmund,"D(CLR),DMC",11,1086,1,1,5,0,0.4,88.0,1.2,1,6.76
Mark Flekken,Freiburg,GK,25,2250,0,0,0,0,0.0,69.6,0.2,2,6.76
Yeremy Pino,Villarreal,AM(LR),20,1571,3,2,4,0,1.1,77.0,0.8,1,6.76
Eduardo Camavinga,Real Madrid,"D(L),DMC",14,1343,0,1,4,0,0.6,91.7,0.7,0,6.76
Alex Iwobi,Everton,M(CLR),28,2482,1,6,2,0,0.9,79.8,0.2,0,6.76
Antonee Robinson,Fulham,"D(L),M(L)",24,2099,0,1,6,0,0.0,76.2,1.0,0,6.76
Christopher Jullien,Montpellier,D(C),22,1976,0,1,3,0,0.6,84.3,3.1,0,6.75
Saîf-Eddine Khaoui,Clermont Foot,AM(CR),19,1682,4,3,4,0,1.4,74.1,0.4,1,6.75
Xaver Schlager,RBL,M(C),16,1466,1,1,2,0,0.3,83.8,0.6,1,6.75
Diego Rico,Real Sociedad,"D(CL),M(L)",16,1467,0,0,3,0,0.4,78.8,0.9,1,6.75
Samuel Lino,Valencia,"AM(LR),FW",24,2083,2,1,3,0,2.5,80.8,0.5,1,6.75
Ridle Baku,Wolfsburg,"D(R),M(CR)",22,2016,5,1,4,0,1.0,79.0,0.6,1,6.75
Iñaki Williams,Athletic Bilbao,"AM(CLR),FW",22,1867,5,2,1,0,2.1,71.0,0.8,1,6.75
Stefan Savic,Atletico,D(C),18,1586,0,0,4,2,0.1,89.1,2.5,0,6.75
Antonio Raíllo,Mallorca,D(C),25,2250,1,1,8,0,0.4,84.9,2.6,1,6.75
Christian Kouamé,Fiorentina,"AM(LR),FW",18,1514,2,2,3,0,1.7,74.2,2.2,2,6.75
Tim Ream,Fulham,"D(CL),DMC",27,2428,1,0,2,0,0.1,86.9,1.3,1,6.75
Sergio Ramos,PSG,D(CR),22,1899,0,1,3,1,0.4,95.0,1.4,0,6.75
Jean-Charles Castelletto,Nantes,D(C),21,1759,0,0,2,0,0.3,83.3,2.3,0,6.75
Suat Serdar,Hertha Berlin,M(CLR),22,1699,4,1,4,0,0.9,69.6,1.1,1,6.75
Marco Carnesecchi,Cremonese,GK,18,1620,0,1,1,0,0.0,54.0,0.1,2,6.75
Felix Nmecha,Wolfsburg,M(C),11,1118,2,3,3,0,1.0,72.8,1.6,0,6.75
Corentin Tolisso,Lyon,"D(R),M(CR)",17,1323,0,1,1,0,0.6,89.0,1.0,0,6.75
Kalidou Koulibaly,Chelsea,D(C),17,1522,2,1,5,1,0.5,86.9,1.4,0,6.75
André Silva,RBL,FW,18,1544,4,3,2,0,2.2,74.2,0.7,0,6.74
Ermedin Demirovic,Augsburg,"AM(L),FW",24,1867,7,4,5,1,2.0,49.6,1.9,1,6.74
Gideon Mensah,Auxerre,"D(L),M(L)",19,1697,0,0,5,0,0.2,78.1,1.1,2,6.74
Nikola Milenkovic,Fiorentina,D(CR),18,1596,2,1,2,0,0.7,85.3,2.6,0,6.74
Iker Muniain,Athletic Bilbao,AM(CLR),15,1303,0,3,2,0,1.0,86.3,0.1,1,6.74
Florian Lejeune,Rayo Vallecano,D(C),24,2031,4,0,4,1,1.5,79.7,2.0,1,6.74
Timo Hübers,FC Koln,D(C),19,1748,1,0,5,0,0.3,82.9,2.8,0,6.74
James Justin,Leicester,"D(CLR),M(LR)",14,1254,0,0,0,0,0.4,81.5,1.6,0,6.74
MBala Nzola,Spezia,FW,22,1988,12,2,5,0,2.2,80.1,1.3,3,6.74
David López,Girona,"D(C),DMC",13,1160,2,1,4,0,0.6,90.2,1.8,2,6.74
Marcos Acuña,Sevilla,"D(CL),M(CL)",15,1330,2,1,7,1,0.8,81.6,1.0,1,6.74
Christopher Trimmel,Union Berlin,"D(CR),M(R)",16,1467,0,5,1,0,0.6,65.7,0.8,0,6.74
Melvin Bard,Nice,"D(L),M(L)",19,1724,0,0,5,0,0.2,80.9,1.0,0,6.74
Ozan Kabak,Hoffenheim,D(C),22,1854,2,2,7,2,1.0,84.0,3.0,1,6.74
Mikkel Desler,Toulouse,D(R),19,1657,1,2,2,1,0.4,86.1,0.7,1,6.74
Ola Aina,Torino,"D(CLR),M(LR)",9,809,1,1,5,0,0.4,76.9,0.8,2,6.74
Davide Calabria,AC Milan,"D(LR),M(R)",13,1020,1,2,4,0,0.5,81.1,0.3,0,6.74
Michele Di Gregorio,Monza,GK,26,2340,0,0,0,0,0.0,71.7,0.2,1,6.73
Anthony Caci,Mainz,"D(CLR),M(L)",16,1442,2,1,2,0,0.4,74.7,0.8,0,6.73
Lazar Samardzic,Udinese,M(C),9,1041,4,3,0,0,1.4,86.1,0.3,1,6.73
Marten de Roon,Atalanta,"D(C),DMC",23,1976,1,1,5,0,0.5,83.4,1.6,0,6.73
Azzedine Ounahi,Angers,AM(CR),13,1137,0,0,1,0,1.5,88.3,0.3,0,6.73
Facundo Medina,Lens,D(CL),23,1974,1,3,5,0,0.5,90.6,1.0,1,6.73
Tyler Adams,Leeds,"D(R),M(CR)",24,2157,0,0,4,1,0.2,82.4,1.1,0,6.73
Antony,Man Utd,AM(R),13,1080,3,0,4,0,2.6,80.8,0.2,0,6.73
Adam Marusic,Lazio,"D(CLR),M(LR)",25,2280,0,2,5,1,0.6,88.0,1.0,0,6.73
Andreas Pereira,Fulham,M(CLR),27,2260,2,6,7,0,1.6,72.1,0.3,2,6.73
Edgar González,Real Betis,"D(C),DMC",13,1234,0,0,4,1,0.3,89.0,2.3,0,6.73
Callum Wilson,Newcastle,FW,15,1248,7,3,3,0,2.3,72.3,0.7,1,6.73
Raheem Sterling,Chelsea,"M(CLR),FW",16,1349,4,2,3,0,1.5,78.2,0.1,1,6.73
Emerson Royal,Tottenham,"D(R),M(R)",16,1392,2,1,2,1,0.7,82.5,0.9,1,6.73
Maxime Dupé,Toulouse,GK,28,2520,0,0,1,0,0.0,75.7,0.1,1,6.73
André Onana,Inter,GK,17,1530,0,0,1,0,0.0,77.8,0.1,1,6.72
Pablo Maffeo,Mallorca,"D(R),M(R)",23,1994,1,3,4,1,0.7,72.3,1.3,2,6.72
Mason Mount,Chelsea,M(CLR),20,1642,3,2,4,0,1.4,80.3,0.4,2,6.72
Sergio Canales,Real Betis,M(CLR),19,1648,4,2,2,1,1.3,81.2,0.4,1,6.72
Stefano Sensi,Monza,AM(C),17,1313,3,0,5,0,0.8,88.1,0.4,1,6.72
Unai Núñez,Celta Vigo,D(C),24,2160,0,0,6,0,0.4,86.5,1.8,1,6.72
Borja Iglesias,Real Betis,FW,22,1782,12,3,1,1,2.0,74.5,0.7,1,6.72
Federico Baschirotto,Lecce,D(C),26,2340,3,0,5,0,0.5,73.9,2.3,0,6.72
João Félix,Atletico,"AM(CL),FW",7,651,4,3,5,0,1.9,77.3,0.5,1,6.72
Alex Meret,Napoli,GK,26,2340,0,0,0,0,0.0,84.6,0.1,1,6.72
Marquinhos,PSG,"D(CR),DMC",22,1990,2,0,2,0,0.5,95.4,1.0,0,6.72
Allan Saint-Maximin,Newcastle,"AM(CLR),FW",9,866,1,3,1,0,1.2,73.6,0.1,1,6.72
Niklas Schmidt,Werder Bremen,AM(C),9,910,2,0,2,0,0.9,75.8,0.7,1,6.72
Morgan Gibbs-White,Nottingham Forest,"AM(CLR),FW",23,2010,2,5,3,0,1.8,70.5,1.3,3,6.72
Marko Arnautovic,Bologna,"AM(CLR),FW",14,1237,8,0,5,0,1.5,72.9,0.6,1,6.72
Alex Sandro,Juventus,"D(CL),M(L)",17,1456,0,1,4,1,0.2,88.1,1.6,0,6.72
Ben Chilwell,Chelsea,"D(L),M(L)",9,873,2,2,1,0,0.6,81.9,1.4,0,6.72
Jonas Wind,Wolfsburg,"AM(C),FW",8,693,4,0,0,0,1.2,67.2,2.8,1,6.72
Ethan Ampadu,Spezia,"D(C),DMC",21,1816,0,1,5,0,0.6,79.0,2.2,1,6.72
Jeffrey Gouweleeuw,Augsburg,D(C),24,2097,0,1,9,0,0.6,67.7,2.4,0,6.72
Alexander Nübel,Monaco,GK,28,2520,0,0,2,0,0.0,70.9,0.2,1,6.71
Alex Berenguer,Athletic Bilbao,"D(LR),M(CLR),FW",19,1640,3,1,0,0,1.6,75.7,1.1,0,6.71
Beto,Udinese,FW,19,1713,9,1,2,0,1.6,65.7,2.1,3,6.71
