Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Charles Pickel,Cremonese,M(C),23,1880,1,0,8,0,0.7,77.6,1.6,0,6.33
Carles Aleñá,Getafe,AM(CLR),20,1591,2,2,8,1,1.0,79.5,0.5,1,6.33
Jérémie Bela,Clermont Foot,M(LR),7,689,1,1,0,0,0.7,72.6,0.1,0,6.33
Cristhian Stuani,Girona,"AM(CLR),FW",5,700,6,0,6,0,1.2,76.2,0.4,0,6.33
Cristian Buonaiuto,Cremonese,Midfielder,3,582,0,0,2,0,1.4,71.6,0.2,0,6.33
Tolgay Arslan,Udinese,M(C),11,925,1,0,1,0,0.8,82.6,0.2,0,6.32
Jacob Murphy,Newcastle,"D(R),M(LR)",7,756,1,1,0,0,0.6,70.9,0.1,0,6.32
Aymen Barkok,Mainz,AM(CR),2,391,0,1,1,0,0.6,71.9,0.7,0,6.32
Ivan Sunjic,Hertha Berlin,DMC,12,993,0,0,4,0,0.3,75.0,0.4,1,6.32
Benoît Costil,Auxerre,GK,19,1710,0,0,0,0,0.0,66.5,0.1,0,6.32
Bonke Innocent,Lorient,DMC,10,913,0,1,4,0,0.1,88.6,0.4,0,6.32
Valery Fernández,Girona,"D(R),M(L)",5,661,0,2,1,0,0.2,88.8,0.3,0,6.32
Birger Meling,Rennes,"D(LR),DMC",5,735,0,0,2,1,0.0,87.0,0.5,0,6.32
Alejandro Garnacho,Man Utd,AM(L),4,449,2,2,2,0,1.1,81.0,0.1,0,6.32
Christian Pulisic,Chelsea,"M(CLR),FW",7,686,1,1,1,0,0.8,83.3,0.2,0,6.32
Lorenzo Colombo,Lecce,FW,13,1190,4,2,4,0,1.5,65.8,1.2,0,6.31
Giovanni Simeone,Napoli,"AM(R),FW",0,214,3,0,1,0,0.4,66.7,0.2,0,6.31
Joaquín Correa,Inter,"AM(CL),FW",4,437,3,1,1,0,0.6,75.6,0.2,0,6.31
Enzo Ebosse,Udinese,D(C),9,919,0,0,3,0,0.2,84.4,0.8,0,6.31
Pedro Bigas,Elche,D(CL),17,1447,0,0,2,2,0.7,79.8,1.2,0,6.31
Carlos Fernández,Real Sociedad,"AM(C),FW",6,406,1,0,5,0,0.9,64.1,1.2,0,6.31
Mehmet Aydin,Schalke,M(R),3,477,0,0,0,0,0.4,59.9,0.6,0,6.31
Enzo Tchato Mbiayi,Montpellier,D(R),10,948,1,1,1,0,0.2,74.4,0.8,0,6.31
Nicolas Haas,Empoli,M(C),10,960,1,0,2,0,0.4,76.3,0.3,0,6.31
Nathaniel Clyne,Crystal Palace,"D(LR),M(R)",19,1639,0,0,3,0,0.0,80.6,0.3,0,6.31
Samuel Edozie,Southampton,Forward,5,535,0,0,0,0,0.5,72.1,0.4,0,6.31
Tete Morente,Elche,M(CLR),11,1080,1,0,4,0,0.9,81.0,0.8,0,6.3
Grigoris Kastanos,Salernitana,AM(CR),6,578,1,0,3,0,0.8,75.7,0.7,0,6.3
Yayah Kallon,Verona,AM(C),7,773,1,1,1,0,0.9,70.2,0.4,0,6.3
Jean Onana,Lens,DMC,5,375,0,0,2,0,0.2,86.1,0.3,0,6.3
Warren Zaïre-Emery,PSG,Midfielder,4,519,2,0,1,0,0.4,92.2,0.2,0,6.3
Sebastian Polter,Schalke,"AM(R),FW",4,458,1,2,2,0,0.4,56.9,1.9,0,6.3
Frank Onyeka,Brentford,DMC,4,500,0,1,0,0,0.2,74.1,0.4,0,6.3
Lameck Banda,Lecce,AM(L),13,1180,1,1,4,0,1.0,72.7,0.2,1,6.3
Adam Smith,Bournemouth,"D(LR),M(LR)",26,2206,0,1,8,0,0.2,75.7,0.7,0,6.3
Sergio León,Real Valladolid,FW,12,1049,5,1,0,1,1.0,68.9,0.7,1,6.3
Florent Ogier,Clermont Foot,D(C),14,1302,0,1,3,0,0.1,79.8,1.3,0,6.3
Julian Jeanvier,Auxerre,D(C),15,1247,1,0,2,1,0.5,85.4,1.1,0,6.3
Remi Oudin,Lecce,"M(CLR),FW",2,469,0,0,1,0,0.7,67.3,0.3,0,6.3
Gauthier Hein,Auxerre,AM(R),13,1141,2,0,1,0,1.0,86.6,0.1,0,6.29
Kevin Kampl,RBL,M(CLR),11,898,0,1,6,0,0.2,90.0,0.2,0,6.29
Chris Wood,Newcastle,FW,4,440,2,0,0,0,0.5,62.3,1.3,0,6.29
Morten Thorsby,Union Berlin,M(CLR),6,617,1,1,3,0,0.5,68.3,0.9,0,6.29
Portu,Getafe,"M(CLR),FW",11,1151,0,2,3,1,0.5,72.8,0.5,0,6.29
Ibrahima Sissoko,Strasbourg,"D(C),DMC",8,863,0,0,0,0,0.6,75.3,1.4,0,6.29
Jordi Osei-Tutu,Bochum,"D(R),M(LR)",6,651,0,0,3,0,0.7,70.5,0.3,0,6.29
Renato Tapia,Celta Vigo,"D(C),DMC",9,814,0,0,3,1,0.3,87.3,0.8,0,6.29
Sven Michel,Union Berlin,"AM(L),FW",2,402,3,0,2,0,0.8,59.3,1.3,0,6.29
Rafa Mir,Sevilla,FW,10,815,3,0,1,0,2.1,75.0,0.8,1,6.29
Lucas Pérez,Cadiz,"AM(CR),FW",5,623,3,0,2,0,1.2,83.3,0.1,0,6.29
Amath Ndiaye,Mallorca,AM(L),3,577,1,0,2,0,0.7,76.7,0.2,0,6.28
Albin Ekdal,Spezia,M(C),9,949,0,2,2,1,0.5,78.5,0.7,0,6.28
Valerio Verre,Sampdoria,"AM(CL),FW",6,674,0,0,5,0,0.8,75.9,0.7,0,6.28
Jamie Vardy,Leicester,"AM(L),FW",11,1277,1,4,1,0,0.6,53.7,1.2,0,6.28
Marvin Schwäbe,FC Koln,GK,25,2250,0,0,0,0,0.0,79.1,0.2,1,6.28
Sebastian Rudy,Hoffenheim,"D(R),M(CR)",4,539,0,1,2,0,0.2,78.7,0.2,0,6.28
Domagoj Bradaric,Salernitana,"D(L),M(L)",16,1537,0,2,4,0,0.2,79.8,0.2,0,6.28
Lee Buchanan,Werder Bremen,"D(L),M(L)",1,315,1,0,1,0,0.3,74.5,0.3,0,6.28
Lyanco,Southampton,D(CR),7,693,0,0,4,0,0.6,75.0,1.4,0,6.28
Thorgan Hazard,Borussia Dortmund,"M(CLR),FW",2,455,0,0,1,0,0.6,80.0,0.3,0,6.28
Sargis Adamyan,FC Koln,"AM(CLR),FW",4,625,1,2,3,0,1.0,71.7,0.5,0,6.28
Íñigo Eguaras,Almeria,DMC,10,843,1,1,5,0,0.4,85.5,0.2,0,6.27
Federico Bonazzoli,Salernitana,"AM(C),FW",12,1077,2,1,1,0,1.4,75.4,0.3,0,6.27
Jean-Paul Boëtius,Hertha Berlin,"AM(CL),FW",8,848,0,0,2,0,0.3,74.4,0.2,0,6.27
Valère Germain,Montpellier,"AM(CLR),FW",5,626,2,0,0,1,0.8,67.9,1.2,0,6.27
Junior Sambia,Salernitana,"D(R),M(CR)",5,502,0,0,3,0,0.6,84.8,0.6,0,6.27
Simon Zoller,Bochum,"AM(LR),FW",17,1285,3,1,4,0,1.4,66.4,0.7,1,6.27
Abdallah Sima,Angers,"AM(R),FW",15,1341,3,0,0,0,1.3,76.5,1.3,0,6.27
Ismaël Diallo,AC Ajaccio,D(L),20,1726,0,0,6,1,0.1,76.8,0.9,0,6.27
Fede San Emeterio,Cadiz,DMC,15,1171,0,0,7,0,0.2,79.8,0.8,0,6.27
Francisco Portillo,Almeria,M(CLR),2,404,2,0,1,0,0.2,79.6,0.2,0,6.27
Anthony Lozano,Cadiz,"AM(L),FW",12,1191,0,0,3,0,1.1,67.4,2.3,0,6.27
Kieran Tierney,Arsenal,"D(CL),M(L)",4,514,0,1,0,0,0.3,78.2,0.1,0,6.27
Leandro Paredes,Juventus,DMC,5,591,0,0,3,1,0.5,91.8,0.1,0,6.26
Ezequiel Ponce,Elche,"AM(L),FW",8,1015,3,0,2,0,1.0,75.2,1.3,0,6.26
Clément Grenier,Mallorca,M(CL),6,608,0,0,7,0,0.2,79.2,0.2,0,6.26
Dennis Praet,Leicester,AM(CR),5,535,1,0,1,0,0.2,77.7,0.1,0,6.26
Dimitri Foulquier,Valencia,"D(CLR),M(R)",11,1109,0,1,3,0,0.1,71.4,0.6,0,6.26
Anthony Elanga,Man Utd,AM(LR),5,424,0,1,0,0,0.6,76.0,0.5,0,6.26
Gregoire Defrel,Sassuolo,"AM(CR),FW",8,685,1,0,2,0,0.6,83.7,0.1,0,6.26
Stuart Armstrong,Southampton,AM(CLR),10,1001,1,0,5,0,0.8,82.0,0.3,0,6.26
Yves Bissouma,Tottenham,M(C),8,809,0,0,5,0,0.3,90.5,0.3,0,6.26
Emmanuel Gyasi,Spezia,"M(LR),FW",24,1984,1,0,6,0,1.1,81.4,0.6,0,6.25
Marcus Coco,Nantes,"M(LR),FW",3,313,1,0,1,0,0.3,77.9,0.6,0,6.25
Kike García,Osasuna,FW,5,749,2,0,3,0,1.2,73.6,1.2,0,6.25
Daniel Ciofani,Cremonese,FW,5,623,5,0,0,0,1.0,59.2,1.0,0,6.25
Pablo Sarabia,PSG,"D(L),M(CLR),FW",3,364,0,0,1,0,0.4,82.8,0.0,0,6.25
Alfred Duncan,Fiorentina,DMC,7,614,0,0,2,0,0.2,79.0,0.5,0,6.25
Benjamin Leroy,AC Ajaccio,GK,25,2169,0,0,0,0,0.0,57.6,0.0,1,6.25
