Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Martin Erlic,"Sassuolo,",", D(C)",19(1),1700,-,-,2,-,0.1,86.2,1.5,-,6.63
Íñigo Ruíz de Galarreta,"Mallorca,",", DMC",20(2),1750,-,-,7,-,0.4,85.3,0.5,-,6.63
Ferland Mendy,"Real Madrid,",", D(L),M(L)",14(1),1162,-,1,2,-,0.1,92.2,0.5,-,6.63
Idrissa Gueye,"Everton,",", M(C)",22(1),1804,-,1,4,-,0.2,85.7,0.8,-,6.63
Kerem Demirbay,"Leverkusen,",", M(C)",13(7),1171,3,3,3,-,1.4,81,0.4,1,6.63
Giorgi Mamardashvili,"Valencia,",", GK",26,2340,-,-,2,-,-,65.7,0.2,1,6.63
Mattéo Guendouzi,"Marseille,",", M(C)",20(6),1718,1,3,3,-,0.9,88.5,0.8,-,6.63
Demarai Gray,"Everton,",", AM(CLR),FW",22(4),2026,4,1,2,-,1.8,81.1,0.3,1,6.63
Marius Bülter,"Schalke,",", D(R),M(CLR),FW",22(3),1926,7,1,4,-,1.8,65.2,1.4,-,6.63
Rani Khedira,"Union Berlin,",", D(C),DMC",24,2077,1,-,7,-,0.8,75.7,1.3,-,6.63
David Costa,"Lens,",", AM(CL)",16(10),1353,1,3,2,-,1,85.8,0.1,-,6.63
Edimilson Fernandes,"Mainz,",", D(C),M(CR)",19(4),1690,-,2,3,-,0.4,74.6,1.2,-,6.63
Cédric Brunner,"Schalke,",", D(CR)",21,1769,-,-,3,-,0.3,70.2,1.6,-,6.63
Predrag Rajkovic,"Mallorca,",", GK",26,2340,-,-,3,-,-,57.1,-,1,6.62
Harvey Barnes,"Leicester,",", AM(CL)",24(1),2042,9,1,2,-,2.2,72.3,1,-,6.62
Nahuel Molina,"Atletico,",", D(R),M(R)",21,1827,-,1,5,1,0.5,78.5,0.7,-,6.62
Steffen Tigges,"FC Koln,",", FW",16(6),1329,5,1,-,-,1,59.2,2.4,2,6.62
Jawad El Yamiq,"Real Valladolid,",", D(C)",11(6),968,-,-,-,1,0.6,82.9,1.8,-,6.62
Íñigo Lekue,"Athletic Bilbao,",", D(LR),M(LR)",13(5),1255,-,1,1,-,0.5,81.2,0.9,-,6.62
Lucas Boyé,"Elche,",", AM(L),FW",20(4),1700,3,2,5,1,1.9,79.8,1.2,1,6.62
Stephan El Shaarawy,"Roma,",", M(CLR),FW",7(13),922,3,1,2,-,1.1,80.9,0.5,-,6.62
Wilfried Gnonto,"Leeds,",", AM(L)",12(4),1067,2,3,4,-,1.1,76,0.3,1,6.62
Jakub Kiwior,"Spezia,",", D(C),DMC",17,1447,-,-,3,-,0.6,85.3,1.3,-,6.62
Niko Gießelmann,"Union Berlin,",", D(CL),M(L)",13(7),1185,-,2,4,-,0.9,70.2,1.1,-,6.62
Leonardo Spinazzola,"Roma,",", D(LR),M(L)",14(4),1215,1,3,1,-,0.4,76.3,0.4,2,6.62
Mathias Autret,"Auxerre,",", M(CLR)",16(4),1272,2,2,-,-,1.2,81.4,0.3,-,6.62
Leon Bailey,"Aston Villa,",", M(CLR),FW",21(5),1622,4,3,4,-,1.7,69.6,0.8,2,6.62
Jordan Ayew,"Crystal Palace,",", AM(CLR),FW",22(6),1882,1,1,3,-,0.5,79.1,1.4,1,6.62
Anthony Jung,"Werder Bremen,",", D(CL),M(L)",24(1),1969,2,4,1,-,0.6,77.5,0.9,-,6.62
Luke Ayling,"Leeds,",", D(CR),M(R)",13(7),1239,1,1,2,-,0.8,68.7,1.6,-,6.62
Sergio Escudero,"Real Valladolid,",", D(L),M(L)",12(2),957,-,-,3,-,1,73.7,1,1,6.62
Bafodé Diakité,"Lille,",", D(CR)",22(2),1965,2,-,5,-,0.5,88.3,1.2,-,6.62
Marco Richter,"Hertha Berlin,",", M(CLR),FW",15(7),1333,4,3,5,-,1.8,66.5,0.4,1,6.61
Anthony Gordon,"Everton,",", AM(LR)",12(4),1097,3,-,6,-,1.6,75.1,0.6,2,6.61
Séamus Coleman,"Everton,",", D(CR),M(R)",17(3),1455,1,-,1,-,0.3,75.8,0.8,1,6.61
Alexis Blin,"Lecce,",", DMC",17(8),1609,1,-,4,-,0.4,82.1,1.3,1,6.61
Etienne Capoue,"Villarreal,",", D(C),M(CL)",17(2),1470,-,-,1,-,0.8,88.1,1.1,-,6.61
Xavier Chavalerin,"Troyes,",", DMC,M(L)",19(7),1828,2,2,3,-,0.8,84.2,0.5,-,6.61
Anthony Lopes,"Lyon,",", GK",22,1917,-,-,1,1,-,74.3,-,-,6.61
Joaquín Fernández,"Real Valladolid,",", D(C),DMC",16(3),1512,1,-,3,-,0.4,82.6,2,1,6.61
Adam Hlozek,"Leverkusen,",", AM(CL),FW",13(9),1028,4,3,2,-,1.2,75.4,0.9,2,6.61
Mostafa Mohamed,"Nantes,",", FW",14(14),1429,6,2,-,-,1.4,61.2,2.1,-,6.61
Mouctar Diakhaby,"Valencia,",", D(C)",17(1),1459,2,-,4,1,0.6,83.6,1.1,1,6.61
Emil Forsberg,"RBL,",", AM(CLR),FW",11(11),1099,6,3,2,-,0.9,83.4,0.5,-,6.61
Jérémy Doku,"Rennes,",", AM(LR)",5(14),593,1,-,-,-,0.7,83.8,0.1,1,6.61
Óliver Torres,"Sevilla,",", M(CLR)",22(2),1700,3,1,1,-,0.7,81.7,0.2,2,6.61
Ricardo Rodríguez,"Torino,",", D(CL),M(L)",19(5),1774,-,-,1,-,0.3,84.6,1,-,6.61
Lassana Coulibaly,"Salernitana,",", M(CL)",24(1),2062,2,2,8,-,0.4,84.2,0.9,1,6.61
Juan Musso,"Atalanta,",", GK",21,1808,-,-,1,-,-,68.6,-,-,6.60
David Alaba,"Real Madrid,",", D(CL),M(CL)",17(2),1546,1,3,3,-,0.6,89.4,0.4,-,6.60
Dani Rodríguez,"Mallorca,",", AM(CLR)",20(5),1557,3,3,7,-,0.8,82.2,0.4,2,6.60
Matheus Henrique,"Sassuolo,",", M(C)",12(7),1196,2,-,2,-,0.8,85.9,0.5,-,6.60
Ashley Young,"Aston Villa,",", D(LR),M(LR)",14(5),1277,1,-,3,-,0.4,75.9,0.5,-,6.60
Ruben Loftus-Cheek,"Chelsea,",", M(CLR)",16(3),1265,-,-,1,-,0.5,87.1,1.1,-,6.60
Mohamed Youssouf,"AC Ajaccio,",", D(R)",21(2),1905,-,-,5,-,0.1,74.5,1.7,-,6.60
Matías Vecino,"Lazio,",", M(C)",12(12),1256,2,-,5,-,0.8,84.1,1,1,6.60
Óscar Plano,"Real Valladolid,",", AM(CLR),FW",19(7),1749,1,1,3,-,1,75.9,1.1,-,6.60
Luis Milla,"Getafe,",", DMC",16(3),1369,-,-,3,1,0.3,83.2,0.6,-,6.60
Jérémy Le Douaron,"Brest,",", AM(L),FW",14(8),1296,6,2,1,-,1.6,72.5,2.1,2,6.60
Rogerio,"Sassuolo,",", D(L),M(L)",24(1),2097,-,2,5,-,0.4,80.5,0.7,2,6.60
Bobby De Cordova-Reid,"Fulham,",", D(R),M(CLR),FW",25(1),2072,4,1,7,-,1,72.4,0.4,-,6.60
Maximilian Eggestein,"Freiburg,",", M(CR)",20(4),1836,1,2,4,-,0.3,77.3,1.7,-,6.60
Wout Faes,"Leicester,",", D(C)",20,1797,-,-,3,1,0.3,86.3,2,-,6.60
Valentin Gendrey,"Lecce,",", D(R)",25(2),2250,-,1,3,-,0.3,73.3,1.3,-,6.60
Ignatius Ganago,"Nantes,",", AM(LR),FW",12(8),1144,4,3,-,-,1.2,66,2.2,-,6.60
Mathías Olivera,"Napoli,",", D(L),M(L)",9(12),924,1,2,1,-,0.1,87.4,0.5,1,6.60
Nuno da Costa,"Auxerre,",", AM(LR),FW",14(9),1331,3,2,3,1,1.3,69.2,1.3,3,6.60
Valentín Castellanos,"Girona,",", AM(R),FW",24(1),1926,6,-,7,-,2.3,63.1,1.5,-,6.60
David Okereke,"Cremonese,",", AM(CLR),FW",21(4),1790,5,-,4,-,1.9,72.2,1.4,-,6.60
Marco Silvestri,"Udinese,",", GK",27,2430,-,-,-,-,-,72.9,0.3,-,6.60
Danilo Cataldi,"Lazio,",", M(C)",22(2),1652,-,1,4,-,0.3,88.5,0.1,-,6.60
César Azpilicueta,"Chelsea,",", D(CLR),M(R)",11(8),1104,-,-,3,-,0.4,82.8,1.2,-,6.60
Nicolò Fagioli,"Juventus,",", M(C)",10(8),954,2,3,2,-,0.4,85.8,-,-,6.60
José Sá,"Wolves,",", GK",28,2520,-,-,-,-,-,68.4,0.3,2,6.59
Ciprian Tatarusanu,"AC Milan,",", GK",16,1440,-,1,-,-,-,75.5,0.1,-,6.59
Stole Dimitrievski,"Rayo Vallecano,",", GK",25,2250,-,-,3,-,-,54.4,0.4,3,6.59
Nacho,"Real Madrid,",", D(CLR)",10(7),923,-,1,5,-,0.2,92.5,1.3,-,6.59
Jens Cajuste,"Reims,",", DMC",8(14),998,3,1,6,1,0.9,80.2,0.5,-,6.59
Hugo Mallo,"Celta Vigo,",", D(CR),M(R)",18,1479,-,-,5,-,0.7,80.3,1.9,-,6.59
Jerdy Schouten,"Bologna,",", DMC",19(4),1646,-,2,3,-,0.3,85.4,0.7,-,6.59
Marcos Alonso,"Barcelona,",", D(CL),M(L)",6(9),674,1,-,1,-,0.2,91.8,0.8,-,6.59
Piero Hincapié,"Leverkusen,",", D(CL)",19(3),1767,1,-,6,2,0.7,82.7,1.9,-,6.59
Timothy Weah,"Lille,",", D(L),M(LR),FW",12(7),1181,-,2,1,-,1.2,86,0.5,-,6.59
Matty Cash,"Aston Villa,",", D(R),M(CLR)",18(5),1640,-,1,3,-,0.3,79.5,0.5,1,6.59
Lewis Dunk,"Brighton,",", D(C)",25,2250,-,-,2,-,0.6,90.5,1.8,-,6.59
Waldemar Anton,"Stuttgart,",", D(CR),DMC",25,2176,1,-,3,-,0.7,79.4,1.6,-,6.59
Lilian Brassier,"Brest,",", D(CL)",25(1),2194,-,-,4,-,0.5,77.6,1.3,-,6.59
Weston McKennie,"Juventus,",", D(C),M(CLR)",13(2),1060,1,1,-,-,0.5,81.7,0.8,-,6.59
Jirí Pavlenka,"Werder Bremen,",", GK",24,2099,-,-,-,-,-,68.2,0.3,1,6.59
Marc Guéhi,"Crystal Palace,",", D(C)",27,2430,-,-,7,-,0.3,86.3,1.1,-,6.59
Pablo Marí,"Monza,",", D(C)",18(2),1673,1,-,3,-,0.4,87.5,1.8,-,6.59
Matz Sels,"Strasbourg,",", GK",28,2520,-,-,2,-,-,63.2,0.3,2,6.59
Atakan Karazor,"Stuttgart,",", D(C),DMC",15(7),1343,-,1,9,-,0.2,85.1,1.8,1,6.59
Antonino Gallo,"Lecce,",", D(L)",19(3),1692,-,1,2,1,0.2,70.8,0.9,-,6.59
Robin Koch,"Leeds,",", D(C),DMC",26,2294,-,-,5,-,0.3,77.3,2.8,-,6.59
Joris Chotard,"Montpellier,",", DMC",18(7),1713,-,2,4,-,0.4,80.1,0.4,-,6.59
Amos Pieper,"Werder Bremen,",", D(C)",21(3),1848,1,1,8,-,0.4,79.8,2.5,-,6.59
Juan Bernat,"PSG,",", D(L),M(CL)",12(9),1137,1,3,1,-,0.3,93.3,0.2,-,6.59
Nathan Collins,"Wolves,",", D(CR)",17(3),1579,-,-,2,1,0.1,88.8,1.5,-,6.58
Anthony Losilla,"Bochum,",", D(C),DMC",23,2016,-,2,3,1,0.7,68.9,2.8,-,6.58
Andrés Guardado,"Real Betis,",", D(L),M(CL)",11(7),972,1,1,5,-,0.4,84.9,0.6,-,6.58
João Moutinho,"Wolves,",", M(C)",19(7),1665,-,2,2,-,0.6,84,0.3,-,6.58
Eddie Nketiah,"Arsenal,",", FW",9(14),990,4,1,2,-,1.7,82,0.4,1,6.58
Andrea Petagna,"Monza,",", FW",15(7),1268,2,4,1,-,1.2,73.4,1.3,1,6.58
Pierre Kalulu,"AC Milan,",", D(CR)",22(5),2118,1,-,4,-,0.4,88.6,0.9,1,6.58
Filippo Bandinelli,"Empoli,",", M(C)",21(5),1753,2,-,6,-,0.7,78.4,0.3,1,6.58
Valentino Lazaro,"Torino,",", D(R),M(CLR)",13(2),1071,-,2,4,-,0.5,77.8,0.7,2,6.58
Andrej Kramaric,"Hoffenheim,",", AM(CLR),FW",17(6),1622,7,2,1,-,1.9,81.6,0.3,1,6.58
Copete,"Mallorca,",", D(C)",18(1),1459,-,-,7,-,0.2,79.6,1.1,1,6.58
Brecht Dejaegere,"Toulouse,",", AM(C)",22(2),1630,4,1,5,-,0.9,80.6,0.3,-,6.58
Álex Baena,"Villarreal,",", AM(CL)",12(11),1293,4,1,10,1,1.7,81,0.1,2,6.58
Manuel Lazzari,"Lazio,",", D(R),M(R)",17(3),1400,-,-,5,-,0.2,89.7,0.3,-,6.58
Charalampos Lykogiannis,"Bologna,",", D(CL),M(L)",11(7),1054,2,-,3,-,1,74.8,0.9,-,6.58
Samuele Ricci,"Torino,",", M(C)",14(4),1336,1,1,5,-,0.7,90.1,0.3,-,6.58
Joe Aribo,"Southampton,",", M(CLR),FW",11(8),1097,2,-,2,-,0.7,74.2,1.4,-,6.58
Omar Mascarell,"Elche,",", DMC",23,2000,-,-,6,-,0.4,85.2,1,-,6.58
Franco Cervi,"Celta Vigo,",", AM(CL)",16(9),1426,-,3,-,1,0.7,77.7,0.4,-,6.58
Sasa Lukic,"Torino,",", M(C)",13(3),1195,2,-,4,-,1,88.1,1.4,1,6.58
Emanuel Aiwu,"Cremonese,",", D(C)",14(4),1300,-,-,3,-,0.2,81.3,1.4,1,6.58
Maxime Le Marchand,"Strasbourg,",", D(CL)",18(3),1568,-,-,4,1,0.3,79.2,2,-,6.58
Suso,"Sevilla,",", AM(CLR),FW",5(10),600,1,1,1,-,0.9,89.3,-,1,6.58
Santiago Bueno,"Girona,",", D(C)",25,2238,-,1,4,1,0.5,86.2,2.2,-,6.58
Roméo Lavia,"Southampton,",", DMC",16(3),1378,1,-,6,-,0.4,86.7,0.3,-,6.58
Julián Álvarez,"Man City,",", AM(CR),FW",6(14),739,5,-,-,-,1.4,80.9,0.3,1,6.58
Christopher Antwi-Adjei,"Bochum,",", AM(CLR)",13(7),1222,2,6,-,-,1,69.5,0.5,1,6.58
Bradley Locko,"Reims,",", D(L),M(L)",13(2),1060,-,-,3,1,0.3,81,0.8,-,6.58
Conor Gallagher,"Chelsea,",", AM(C)",10(14),940,1,1,5,1,0.7,82.9,0.6,1,6.58
Brendan Chardonnet,"Brest,",", D(C)",17(3),1589,-,-,5,-,0.5,81.9,2.8,-,6.58
Antonio Rüdiger,"Real Madrid,",", D(CR)",17(6),1599,1,-,1,-,0.7,91.9,1.1,-,6.58
Gio Reyna,"Borussia Dortmund,",", AM(CLR)",4(12),524,5,-,1,-,1,78.8,0.3,-,6.57
Marcelo Brozovic,"Inter,",", M(CR)",11(6),1012,2,-,6,-,0.9,88.8,0.2,-,6.57
Sebastian Rode,"Eintracht Frankfurt,",", D(R),M(C)",12(8),947,4,1,5,-,0.3,85.1,0.4,-,6.57
Jeffrey Schlupp,"Crystal Palace,",", D(L),M(CLR)",24(3),2040,2,-,5,-,0.7,77.2,0.7,-,6.57
Lucas Höler,"Freiburg,",", AM(CLR),FW",7(10),731,3,-,-,-,0.9,63.9,1.9,1,6.57
Jakub Kaminski,"Wolfsburg,",", AM(LR)",16(6),1332,1,2,-,-,1,74.3,0.4,-,6.57
Lovro Majer,"Rennes,",", AM(CR)",12(10),1068,1,3,2,-,1,83.7,0.2,-,6.57
Kike Pérez,"Real Valladolid,",", M(C)",19(5),1613,-,2,5,-,1.3,79,1,-,6.57
Chidera Ejuke,"Hertha Berlin,",", AM(CLR),FW",9(6),791,-,3,-,-,1.4,82.7,0.3,-,6.57
Neco Williams,"Nottingham Forest,",", D(LR),M(LR)",14(11),1362,-,-,4,-,0.8,68.5,0.5,1,6.57
Dimitri Payet,"Marseille,",", M(CLR),FW",8(11),706,2,3,-,-,1.2,78.1,0.1,1,6.57
Ruslan Malinovskyi,"Atalanta,",", M(CLR),FW",5(10),548,1,2,2,-,1.3,79.5,0.3,-,6.57
Sebastiaan Bornauw,"Wolfsburg,",", D(C)",16(3),1344,-,-,6,-,0.1,84.3,1.9,-,6.57
Dimitri Liénard,"Strasbourg,",", D(L),M(CL)",18(5),1474,-,-,4,-,0.5,77.7,0.8,-,6.57
Dean Henderson,"Nottingham Forest,",", GK",18,1620,-,-,2,-,-,56.8,0.1,2,6.57
Joe Rodon,"Rennes,",", D(C)",14,1238,1,-,2,1,0.5,89.6,2.8,1,6.57
Flavius Daniliuc,"Salernitana,",", D(CR)",16(2),1480,-,2,7,-,0.4,85.8,1.6,-,6.57
Milos Veljkovic,"Werder Bremen,",", D(C),DMC",17(3),1520,1,-,1,-,0.1,82.2,2,-,6.57
José Fonte,"Lille,",", D(C)",22(1),1873,1,-,5,-,0.5,90.1,2,1,6.57
Raphaël Varane,"Man Utd,",", D(C)",17(2),1483,-,-,1,-,0.3,86.1,1.5,-,6.57
Danilo Soares,"Bochum,",", D(L),M(L)",18,1376,-,-,5,-,0.1,72.4,1.3,-,6.57
Amine Adli,"Leverkusen,",", AM(CLR),FW",9(8),926,2,2,1,1,1.1,78.1,1.1,1,6.57
Krzysztof Piatek,"Salernitana,",", FW",16(7),1512,3,2,4,-,2,71.1,2.7,1,6.57
Kamory Doumbia,"Reims,",", AM(C)",11(9),913,2,2,-,-,1.1,81.8,0.4,-,6.57
Aaron Hickey,"Brentford,",", D(LR),M(LR)",14(1),1165,-,-,5,-,0.4,84.2,0.4,-,6.57
Rubén Alcaraz,"Cadiz,",", DMC",14(6),1263,2,-,6,1,1,79.9,1.1,1,6.57
Axel Witsel,"Atletico,",", D(C),M(C)",15(7),1400,-,-,2,-,0.3,93.2,1,-,6.57
Rubén Sobrino,"Cadiz,",", AM(CLR),FW",17(5),1556,2,1,7,-,0.9,74.2,1.6,1,6.57
Mattias Svanberg,"Wolfsburg,",", M(CL)",14(9),1283,2,4,4,-,0.8,71.3,0.7,1,6.57
Niklas Stark,"Werder Bremen,",", D(C),DMC",14(4),1317,-,-,6,-,0.1,82.8,1.4,-,6.57
Konstantinos Tsimikas,"Liverpool,",", D(L)",6(8),534,-,4,1,-,0.5,85.2,0.4,-,6.56
Nemanja Matic,"Roma,",", DMC",13(13),1411,1,1,4,-,0.3,86.3,0.5,-,6.56
Dani Carvajal,"Real Madrid,",", D(R)",16(5),1456,-,2,4,-,0.3,86.9,0.3,-,6.56
Joe Worrall,"Nottingham Forest,",", D(C)",16(5),1606,1,-,6,-,0.2,80,1.8,-,6.56
Harvey Elliott,"Liverpool,",", AM(CR)",16(10),1432,1,2,1,-,1.1,82.2,0.1,-,6.56
Vitalii Mykolenko,"Everton,",", D(CL),M(L)",25(2),2148,-,-,3,-,0.3,76.6,0.7,-,6.56
Mohamed Simakan,"RBL,",", D(CR)",12(4),924,1,1,-,-,0.4,83.6,1.3,-,6.56
Pietro Terracciano,"Fiorentina,",", GK",23,2070,-,-,1,-,-,74,0.3,1,6.56
Himad Abdelli,"Angers,",", AM(CL)",14(6),1263,-,-,1,-,0.6,82.8,0.6,-,6.56
Asier Illarramendi,"Real Sociedad,",", M(C)",9(7),746,1,-,3,-,0.6,87.4,0.3,-,6.56
Jaume Costa,"Mallorca,",", D(LR),M(L)",22,1848,-,1,8,-,0.5,76,0.9,-,6.56
Rodri,"Real Betis,",", AM(CLR)",15(4),1159,2,1,-,-,0.5,89.7,-,1,6.56
Diogo Leite,"Union Berlin,",", D(C)",20(1),1733,-,1,3,1,0.4,78.6,2.4,-,6.56
Josh Doig,"Verona,",", D(CL),M(L)",14(5),1245,2,3,1,-,0.9,68.9,0.7,-,6.56
Maximiliano Caufriez,"Clermont Foot,",", D(CR)",16,1388,-,-,6,1,0.4,89,0.9,-,6.56
Danny Ings,"Aston Villa,",", AM(C),FW",8(10),819,6,-,3,-,1.5,72.2,0.9,1,6.56
Mahdi Camara,"Brest,",", D(CR),DMC",17(4),1449,-,-,2,1,0.7,85.1,0.6,-,6.56
Edmond Tapsoba,"Leverkusen,",", D(C)",24(1),2152,1,-,3,-,0.5,85.9,1.5,1,6.56
Maxime Estève,"Montpellier,",", D(C)",15(4),1362,-,-,3,-,0.2,80.7,1.3,2,6.56
Massadio Haïdara,"Lens,",", D(CL),M(L)",15(11),1327,-,-,4,-,0.3,87.4,1.3,-,6.56
Ivan Ordets,"Bochum,",", D(C)",19(2),1667,-,-,3,-,0.3,73.9,4,-,6.56
Vincent Marchetti,"AC Ajaccio,",", M(C)",22(1),1843,-,1,5,-,1.4,80.8,0.1,-,6.56
Erhan Masovic,"Bochum,",", D(C)",14(6),1394,4,-,2,-,0.6,80.6,1.4,1,6.56
Renaud Ripart,"Troyes,",", D(R),M(CLR),FW",14(11),1283,4,1,4,-,1.6,70.6,2.1,-,6.56
Iván Sánchez,"Real Valladolid,",", AM(CR)",13(8),1005,1,-,-,-,0.8,84.4,0.1,1,6.55
Andrea Cambiaso,"Bologna,",", D(LR),M(L)",19(6),1622,-,2,2,-,0.4,82.7,0.1,1,6.55
Alex Telles,"Sevilla,",", D(CL),M(L)",10(8),996,-,2,4,-,0.6,81.2,0.9,-,6.55
Aleksa Terzic,"Fiorentina,",", D(L)",4(10),498,-,-,-,-,0.4,84.9,0.4,-,6.55
Bruno Amione,"Sampdoria,",", D(C)",16,1334,-,1,7,-,0.5,78,3.1,-,6.55
Léo Baptistão,"Almeria,",", AM(CLR),FW",17(4),1256,3,2,6,-,1.7,69.3,0.9,3,6.55
Crysencio Summerville,"Leeds,",", AM(LR)",9(11),1013,4,2,2,-,1.1,77.7,0.2,-,6.55
Rodrigo Riquelme,"Girona,",", AM(CL)",19(6),1627,4,2,1,-,1.7,77.3,0.2,1,6.55
Ismaël Doukouré,"Strasbourg,",", D(C)",16(2),1472,1,1,5,-,0.3,82,1.1,-,6.55
Fred,"Man Utd,",", M(C)",10(13),962,2,1,5,-,1,80.3,0.4,-,6.55
Salih Özcan,"Borussia Dortmund,",", M(C)",16(3),1344,-,1,6,-,0.1,87.1,0.9,-,6.55
Mehdi Léris,"Sampdoria,",", M(CLR)",21(3),1802,-,1,11,-,0.9,70.4,2.3,-,6.55
Marc Roca,"Leeds,",", DMC",21(2),1636,1,2,5,-,0.9,80.3,0.7,-,6.55
Jean-Daniel Akpa Akpro,"Empoli,",", D(R),M(CLR)",11(5),928,-,-,6,2,0.5,78.2,0.6,-,6.55
Wahbi Khazri,"Montpellier,",", M(CLR),FW",13(7),1133,4,1,4,1,1.4,74.1,0.5,-,6.55
Arkadiusz Reca,"Spezia,",", D(L),M(L)",19(2),1614,1,1,5,-,0.7,71.3,0.5,-,6.55
Matteo Ruggeri,"Atalanta,",", M(L)",7(7),733,-,1,3,-,0.7,83.7,0.8,-,6.55
Sebastiano Luperto,"Empoli,",", D(C)",25,2166,1,-,2,2,0.5,86.3,1.6,1,6.54
Renan Lodi,"Nottingham Forest,",", D(L),M(L)",18(1),1529,-,-,5,-,0.5,75.3,0.7,-,6.54
Lesley Ugochukwu,"Rennes,",", M(C)",9(8),951,-,1,1,1,0.2,86.6,0.7,-,6.54
Matheus Nunes,"Wolves,",", M(C)",22(3),1704,-,1,1,1,0.9,81.4,0.6,1,6.54
Isak Hien,"Verona,",", D(C)",18(4),1736,-,-,8,-,-,73.7,2.5,-,6.54
Théo Bongonda,"Cadiz,",", AM(LR)",15(4),1169,2,2,-,-,1.4,74,0.5,-,6.54
Nicola Zalewski,"Roma,",", M(LR)",17(6),1452,1,1,2,-,0.7,77.4,0.1,1,6.54
Carlos Soler,"PSG,",", M(CLR)",10(8),845,3,2,-,-,0.5,87.5,0.1,1,6.54
Domingos Duarte,"Getafe,",", D(C)",24,2106,-,2,8,1,0.5,78,1.7,1,6.54
Nicolas Cozza,"Montpellier,",", D(CL)",14(3),1275,2,1,3,-,0.4,73.4,1.2,-,6.54
Yan Couto,"Girona,",", D(R),M(R)",7(7),682,-,1,1,-,0.4,79.9,0.1,-,6.54
Nikola Moro,"Bologna,",", DMC",7(8),688,-,2,1,-,0.8,78.8,1.1,-,6.54
Dennis Geiger,"Hoffenheim,",", M(C)",20,1445,1,2,7,-,0.3,84.5,0.4,1,6.54
Yohann Magnin,"Clermont Foot,",", DMC",22(6),2039,-,-,5,-,0.5,84.8,0.8,-,6.54
Eric Martel,"FC Koln,",", DMC",15(6),1357,-,-,3,-,0.7,80.5,1.8,-,6.54
Arnaud Nordin,"Montpellier,",", AM(CLR),FW",20(6),1584,4,2,3,-,1.3,78.3,0.6,-,6.54
Tommaso Baldanzi,"Empoli,",", AM(C)",16(2),1170,4,-,1,-,0.9,84.7,0.2,1,6.54
Hugo Bueno,"Wolves,",", D(L)",13(2),1047,-,1,1,-,0.3,84.8,0.4,-,6.54
Christian Groß,"Werder Bremen,",", D(C),DMC",17(2),1387,1,-,2,-,0.2,83,1.1,-,6.54
Elseid Hysaj,"Lazio,",", D(LR),M(R)",12(11),1159,-,1,3,-,0.1,84.3,0.8,-,6.54
Brennan Johnson,"Nottingham Forest,",", AM(CLR),FW",25(2),2224,7,2,4,-,1.6,63.3,0.5,2,6.54
Mehdi Bourabia,"Spezia,",", M(C)",26(1),2103,-,2,3,-,0.8,80.5,0.6,-,6.54
Jonathan Ikoné,"Fiorentina,",", AM(CLR),FW",17(8),1514,2,4,3,-,1.5,84.4,0.5,-,6.54
Maxime Lopez,"Sassuolo,",", M(CR)",16(4),1514,-,-,8,-,0.4,88.2,0.2,-,6.54
Samu Castillejo,"Valencia,",", AM(CLR)",15(5),1132,3,-,6,-,1.6,85.4,0.3,-,6.54
Borja Mayoral,"Getafe,",", FW",26,2138,6,2,4,-,1.6,77.1,1,2,6.54
Fernando,"Sevilla,",", D(C),DMC",14(1),1148,-,-,2,1,0.3,90.2,0.7,-,6.54
Tyrell Malacia,"Man Utd,",", D(L)",10(5),920,-,-,3,-,0.2,84.8,0.3,-,6.54
Unai Simón,"Athletic Bilbao,",", GK",22,1936,-,-,1,-,-,68.8,-,1,6.53
Pawel Dawidowicz,"Verona,",", D(C)",14(2),1135,1,1,5,1,0.7,77.3,1.9,-,6.53
Adama Traoré,"Wolves,",", M(CLR),FW",9(16),1175,2,1,-,-,0.6,74.2,1.2,-,6.53
Pere Milla,"Elche,",", AM(CLR),FW",15(5),1238,6,1,5,-,1.2,72.5,0.9,2,6.53
Filip Djuricic,"Sampdoria,",", AM(CLR),FW",21(3),1643,3,-,8,-,0.9,78.6,0.4,-,6.53
Damián Suárez,"Getafe,",", D(R),M(R)",15(2),1114,1,-,3,-,0.1,70.9,0.6,-,6.53
Manu Sánchez,"Osasuna,",", D(L)",12(8),1208,-,1,1,-,0.3,83.5,0.5,-,6.53
Leonardo Sernicola,"Cremonese,",", D(R),M(R)",21(2),1787,1,1,7,-,0.9,72.5,0.9,1,6.53
Josh Dasilva,"Brentford,",", M(C)",12(14),1121,3,2,1,-,0.5,83.9,0.2,-,6.53
Matteo Bianchetti,"Cremonese,",", D(C)",18(2),1692,1,-,3,-,0.3,77.6,2.5,-,6.53
Lukás Hrádecky,"Leverkusen,",", GK",24,2160,-,-,-,1,-,67.9,0.3,-,6.53
Vladimír Coufal,"West Ham,",", D(R),M(R)",16(2),1428,-,-,4,-,0.3,66.4,1.3,-,6.53
Musa Barrow,"Bologna,",", AM(CL),FW",15(6),1202,2,2,2,-,2,76.6,0.2,-,6.53
Ansgar Knauff,"Eintracht Frankfurt,",", M(LR)",12(6),1033,1,1,1,-,0.7,65.4,0.4,-,6.53
César de la Hoz,"Almeria,",", DMC",13(2),1185,1,-,5,-,0.5,81.2,1.1,1,6.53
Hugo Ekitike,"PSG,",", FW",8(11),824,3,3,-,-,1.2,82.8,0.3,-,6.53
