Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Piotr Zielinski,"Napoli,",", M(CLR)",21(6),1732,3,7,2,-,1.5,85.7,0.1,1,7.02
Ismaël Bennacer,"AC Milan,",", DMC",19(3),1630,1,2,5,-,0.5,89.2,0.9,2,7.02
Marvin Ducksch,"Werder Bremen,",", FW",25,2101,8,5,2,-,2.6,69.8,0.8,1,7.01
Miguel Almirón,"Newcastle,",", AM(CLR),FW",24(1),1995,11,1,2,-,2,84.8,0.2,1,7.01
Bernd Leno,"Fulham,",", GK",25,2250,-,-,2,-,-,74.8,0.3,3,7.01
Terem Moffi,"Lorient,",", AM(R),FW",17(1),1398,12,-,1,-,1.9,75.9,0.7,1,7.01
Christian Nørgaard,"Brentford,",", D(C),DMC",16(1),1389,1,3,4,-,0.9,76,0.8,-,7.01
Paulo Otávio,"Wolfsburg,",", D(L),M(L)",22,1817,-,5,7,-,0.8,73.8,1.2,1,7.00
Sadio Mané,"Bayern,",", AM(CLR),FW",14(4),1083,6,4,1,-,2.6,75.8,0.7,-,7.00
Nuno Mendes,"PSG,",", D(L),M(L)",15(4),1276,1,3,2,-,0.4,87.1,0.5,-,7.00
Nicolò Barella,"Inter,",", AM(C)",24(2),2017,5,6,5,-,0.9,85.2,0.7,4,7.00
Ludovic Blas,"Nantes,",", M(CLR),FW",22(5),2056,6,2,2,-,2.8,85.8,0.4,1,7.00
Pau López,"Marseille,",", GK",24,2160,-,2,3,-,-,74.3,0.3,-,7.00
Kevin Danso,"Lens,",", D(C)",28,2520,1,1,6,-,0.7,90.4,2.6,2,7.00
Brais Méndez,"Real Sociedad,",", AM(CR),FW",23(2),1927,7,3,6,-,1.9,82.5,0.8,1,7.00
Ivan Provedel,"Lazio,",", GK",26(1),2422,-,-,-,-,-,76.8,0.1,-,7.00
Rúben Neves,"Wolves,",", DMC",27,2394,5,-,9,-,2,84.4,0.7,4,7.00
Toni Kroos,"Real Madrid,",", M(C)",18(3),1509,2,3,-,1,1,95.1,0.2,1,7.00
Kenny Tete,"Fulham,",", D(CR),M(R)",20(1),1773,-,4,6,-,0.5,75.8,1.1,-,7.00
Caio Henrique,"Monaco,",", D(L),M(CL)",23(2),2119,1,7,3,-,0.4,80,0.4,1,6.99
Darwin Núñez,"Liverpool,",", AM(CL),FW",16(4),1354,8,3,1,1,3.8,67,1.5,2,6.99
David Raya,"Brentford,",", GK",27,2430,-,-,1,-,-,61.5,0.4,3,6.99
Adam Ounas,"Lille,",", AM(CLR),FW",10(5),873,1,1,1,-,1.5,79.5,0.3,1,6.99
Armando Izzo,"Monza,",", D(C)",19(1),1624,1,-,5,-,0.5,86,1.6,3,6.99
Leandro Trossard,"Brighton,",", M(CLR),FW",16,1326,7,2,1,-,2.4,74.4,0.4,2,6.99
James Ward-Prowse,"Southampton,",", M(CR)",28,2520,7,2,5,-,1.4,84.4,1.4,2,6.98
Ángel Di María,"Juventus,",", M(CLR),FW",11(5),880,4,4,-,1,1.6,79.3,0.1,-,6.98
Franck Honorat,"Brest,",", M(LR),FW",23(2),2000,5,3,1,-,1.4,75,0.5,3,6.98
Sergio Busquets,"Barcelona,",", DMC",20(2),1653,-,3,4,1,0.3,88.4,2,-,6.98
Junya Ito,"Reims,",", AM(LR),FW",24(1),2055,5,5,3,1,1.4,71.6,0.6,3,6.98
Vedat Muriqi,"Mallorca,",", FW",23,2000,10,2,5,1,2.3,57.7,5.5,3,6.98
Moisés Caicedo,"Brighton,",", DMC",23(1),2091,1,1,8,-,0.7,88.6,1,-,6.98
